Name,Type,Compatibility,OAI-PMH,website
"History of Geo- and Space Sciences",Journal,collected from a compatible aggregator,,http://www.history-of-geo-and-space-sciences.net
"Amwaluna: Jurnal Ekonomi dan Keuangan Syariah",Journal,collected from a compatible aggregator,,http://ejournal.unisba.ac.id/index.php/amwaluna
"Theological Librarianship",Journal,collected from a compatible aggregator,,https://theolib.atla.com/theolib
"Maszyny Górnicze",Journal,collected from a compatible aggregator,,https://komag.eu/wydawnictwa/maszyny-gornicze
"Researches in Mathematics",Journal,collected from a compatible aggregator,,https://vestnmath.dnu.dp.ua
"Breast Cancer: Basic and Clinical Research",Journal,collected from a compatible aggregator,,https://journals.sagepub.com/home/bcb
"JCSM Rapid Communications",Journal,collected from a compatible aggregator,,https://onlinelibrary.wiley.com/journal/26171619
"Jurnal Dinamika Manajemen",Journal,collected from a compatible aggregator,,http://journal.unnes.ac.id/nju/index.php/jdm
"Revista Dental Press de Ortodontia e Ortopedia Facial",Journal,collected from a compatible aggregator,,http://www.scielo.br/scielo.php?script=sci_serial&amp;pid=1415-5419&amp;lng=en&amp;nrm=iso
"ISRN Polymer Science",Journal,collected from a compatible aggregator,,https://www.hindawi.com/journals/isrn.polymer.science/
"Journal of Experimental Orthopaedics",Journal,collected from a compatible aggregator,,https://jeo-esska.springeropen.com/
"3C Tecnología",Journal,collected from a compatible aggregator,,http://www.3ciencias.com/revistas/categoria/tecnologia/
"Literacy Trek",Journal,collected from a compatible aggregator,,http://dergipark.gov.tr/literacytrek
"Cognitio",Journal,collected from a compatible aggregator,,https://www.cognitio-zeitschrift.ch/
"Poslovna Izvrsnost",Journal,collected from a compatible aggregator,,https://businessexcellence.net.efzg.hr/
"História da Historiografia",Journal,collected from a compatible aggregator,,https://www.historiadahistoriografia.com.br
"Foro de Educación",Journal,collected from a compatible aggregator,,http://www.forodeeducacion.com/
"Revista Electrónica Formación y Calidad Educativa",Journal,collected from a compatible aggregator,,http://www.refcale.uleam.edu.ec/index.php/refcale/about
"Doklady Belorusskogo gosudarstvennogo universiteta informatiki i radioèlektroniki",Journal,collected from a compatible aggregator,,https://doklady.bsuir.by/
"Tesis Psicológica",Journal,collected from a compatible aggregator,,http://www.redalyc.org/revista.oa?id=1390
"Pubvet",Journal,collected from a compatible aggregator,,http://blog.pubvet.com.br/
"Revista Teknokultura",Journal,collected from a compatible aggregator,,http://revistas.ucm.es/index.php/TEKN
"Культура України",Journal,collected from a compatible aggregator,,http://ku-khsac.in.ua
"Psikodimensia: Kajian Ilmiah Psikologi",Journal,collected from a compatible aggregator,,http://journal.unika.ac.id/index.php/psi
"IZA Journal of European Labor Studies",Journal,collected from a compatible aggregator,,http://www.izajoels.com/
"International Journal of Medical Dentistry",Journal,collected from a compatible aggregator,,http://www.ijmd.ro
"Revista de Sistemas, Cibernética e Informática",Journal,collected from a compatible aggregator,,http://www.iiisci.org/journal/risci/
"Informing Science The International Journal of an Emerging Transdiscipline",Journal,collected from a compatible aggregator,,http://inform.nu/
"Mundo Agrario",Journal,collected from a compatible aggregator,,https://www.mundoagrario.unlp.edu.ar/
"Cadernos de Informação Jurídica",Journal,collected from a compatible aggregator,,http://www.cajur.com.br
"Jurnal Akuntansi dan Keuangan",Journal,collected from a compatible aggregator,,http://jurnalakuntansi.petra.ac.id/
"Revista Romana de Boli Infectioase",Journal,collected from a compatible aggregator,,https://rjid.com.ro/
"Advances in Human Biology",Journal,collected from a compatible aggregator,,http://www.aihbonline.com
"Mitteilungen der Vereinigung Österreichischer Bibliothekarinnen und Bibliothekare",Journal,collected from a compatible aggregator,,https://journals.univie.ac.at/index.php/voebm/
"Ciencias Administrativas",Journal,collected from a compatible aggregator,,https://revistas.unlp.edu.ar/CADM
"Journal of Interventional Medicine",Journal,collected from a compatible aggregator,,http://www.keaipublishing.com/en/journals/journal-of-interventional-medicine/
"Asia Pacific Scholar",Journal,collected from a compatible aggregator,,http://theasiapacificscholar.org/
"Jurnal Islam Nusantara",Journal,collected from a compatible aggregator,,http://jurnalnu.com/new/index.php/as/index
"Nordic Journal of Digital Literacy",Journal,collected from a compatible aggregator,,https://www.idunn.no/dk
"Acta Universitatis Danubius: Relationes Internationales",Journal,collected from a compatible aggregator,,http://journals.univ-danubius.ro/index.php/internationalis
"ICCT Research Papers",Journal,collected from a compatible aggregator,,https://icct.nl/icctjournal/
"Revista Trabalho, Política e Sociedade",Journal,collected from a compatible aggregator,,http://costalima.ufrrj.br/index.php/RTPS/index
"Judgment and Decision Making",Journal,collected from a compatible aggregator,,http://journal.sjdm.org
"Revista Brasileira de Inovação",Journal,collected from a compatible aggregator,,https://periodicos.sbu.unicamp.br/ojs/index.php/rbi/index
"Asean Marketing Journal",Journal,collected from a compatible aggregator,,http://journal.ui.ac.id/index.php/amj
"Boletim Entre SIS",Journal,collected from a compatible aggregator,,http://online.unisc.br/acadnet/anais/index.php/boletimsis/index
"Revista Diálogos Mediterrânicos",Journal,collected from a compatible aggregator,,http://www.dialogosmediterranicos.com.br
"Frontiers in Medicine",Journal,collected from a compatible aggregator,,http://www.frontiersin.org/medicine
"Frontiers in Endocrinology",Journal,collected from a compatible aggregator,,http://www.frontiersin.org/endocrinology
"Historical Informatics",Journal,collected from a compatible aggregator,,http://en.nbpublish.com/e_istinf/
