Earth Surface Dynamics (ESurf)	Journal	collected from a compatible aggregator		http://www.earth-surface-dynamics.net/
Drinking Water Engineering and Science (DWES)	Journal	collected from a compatible aggregator		http://www.drinking-water-engineering-and-science.net/
Biogeosciences (BG)	Journal	collected from a compatible aggregator		http://www.biogeosciences.net/
Journal of Sensors and Sensor Systems (JSSS)	Journal	collected from a compatible aggregator		http://www.journal-of-sensors-and-sensor-systems.net/
Mechanical Sciences (MS)	Journal	collected from a compatible aggregator		http://www.mechanical-sciences.net/
SOIL	Journal	collected from a compatible aggregator		http://www.soil-journal.net/
ISPRS Annals of Photogrammetry, Remote Sensing and Spatial Information Sciences	Journal	collected from a compatible aggregator		http://www.isprs.org/publications/annals.aspx
Advances in Statistical Climatology, Meteorology and Oceanography (ASCMO)	Journal	collected from a compatible aggregator		http://advances-statistical-climatology-meteorology-oceanography.net/
Advances in Radio Science (ARS)	Journal	collected from a compatible aggregator		http://www.advances-in-radio-science.net/
Earth System Dynamics (ESD)	Journal	collected from a compatible aggregator		http://www.earth-system-dynamics.net/
Geoscientific Model Development (GMD)	Journal	collected from a compatible aggregator		http://www.geoscientific-model-development.net/
Geothermal Energy Science (GtES)	Journal	collected from a compatible aggregator		http://www.geothermal-energy-science.net/
Primate Biology (PB)	Journal	collected from a compatible aggregator		http://www.primate-biology.net/
Solid Earth (SE)	Journal	collected from a compatible aggregator		http://www.solid-earth.net/home.html
Fossil Record (FR)	Journal	collected from a compatible aggregator		http://www.fossil-record.net/
Web Ecology (WE)	Journal	collected from a compatible aggregator		http://www.web-ecology.net/
Geoscientific Instrumentation, Methods and Data Systems (GI)	Journal	collected from a compatible aggregator		http://www.geoscientific-instrumentation-methods-and-data-systems.net/
Journal of Research in Emerging Markets	Journal	collected from a compatible aggregator		http://publications.ud.ac.ae/index.php/jrems
International Review of Advances in Business, Management and Law	Journal	collected from a compatible aggregator		http://publications.ud.ac.ae/index.php/IRBML
International Conference on Advances in Business and Law (ICABL)	Journal	collected from a compatible aggregator		https://publications.ud.ac.ae/index.php/ICABML-CP/index
Journal of Research and Education Chemistry	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/jrec/index
Jurnal Ekonomi KIAT	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/kiat/index
AKSIOMATIK: Jurnal Penelitian Pendidikan dan Pembelajaran Matematika	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/AKS/index
Jurnal Tabarru': Islamic Banking and Finance	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/tabarru/index
Generasi Emas: Jurnal Pendidikan Islam Anak Usia Dini	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/generasiemas/index
Journal of Earth Energy Engineering	Journal	Not yet registered		https://journal.uir.ac.id/index.php/JEEE/index
Jurnal Perspektif Pendidikan dan Keguruan	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/Perspektif/index
Medium	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/Medium/index
AN-NAFS	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/annafs/index
GERAM	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/geram/index
Sisi Lain Realita	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/sisilainrealita/index
IT Journal Research and Development	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/ITJRD/index
VALUTA	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/valuta/index
Jurnal Kajian Pemerintahan	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/JKP/index
